top,bottom,outer,weather,rating
dress,legging,coat,clear,1
t-shirt,none,blazer,clear,1
dress,jogger,hoodie,clear,1
shirt,legging,none,rain,1
dress,trousers,none,snow,1
shirt,trousers,jacket,clear,1
dress,none,blazer,clear,1
dress,shorts,none,snow,1
t-shirt,none,none,snow,1
t-shirt,trousers,jacket,clear,1
shirt,shorts,none,clear,1
t-shirt,shorts,sweater,clear,1
shirt,cargo,jacket,clear,1
shirt,shorts,none,rain,1
dress,trousers,none,snow,1
shirt,shorts,blazer,clear,1
dress,skirt,sweater,clear,1
shirt,trousers,sweater,clear,1
shirt,none,blazer,clear,1
dress,jogger,hoodie,clear,1
dress,jogger,sweater,clear,1
t-shirt,none,blazer,clear,1
shirt,skirt,none,rain,1
t-shirt,skirt,none,rain,1
dress,legging,blazer,clear,1
shirt,none,blazer,clear,1
dress,jogger,hoodie,clear,1
shirt,trousers,hoodie,clear,1
dress,jogger,hoodie,clear,1
t-shirt,none,jacket,clear,1
t-shirt,skirt,none,rain,1
shirt,none,none,snow,1
shirt,jeans,none,clear,1
t-shirt,legging,blazer,clear,1
dress,jogger,none,snow,1
shirt,legging,none,clear,1
dress,jogger,none,snow,1
t-shirt,none,blazer,clear,1
shirt,jogger,jacket,clear,1
shirt,none,none,snow,1
t-shirt,jeans,none,snow,1
shirt,none,none,snow,1
t-shirt,trousers,none,snow,1
shirt,shorts,none,rain,1
dress,cargo,sweater,clear,1
shirt,skirt,none,snow,1
shirt,shorts,jacket,clear,1
t-shirt,legging,none,clear,1
t-shirt,cargo,none,rain,1
shirt,cargo,blazer,clear,1
t-shirt,shorts,none,snow,1
t-shirt,skirt,none,rain,1
dress,legging,none,snow,1
shirt,jogger,none,snow,1
shirt,none,none,snow,1
t-shirt,jogger,none,snow,1
t-shirt,skirt,none,rain,1
dress,cargo,none,snow,1
dress,skirt,none,snow,1
dress,jeans,none,rain,1
dress,trousers,none,rain,1
t-shirt,none,none,clear,1
dress,legging,none,rain,1
dress,trousers,none,snow,1
t-shirt,skirt,none,snow,1
t-shirt,jogger,jacket,clear,1
dress,jeans,none,snow,1
dress,cargo,hoodie,clear,1
shirt,skirt,hoodie,clear,1
t-shirt,shorts,none,snow,1
t-shirt,none,blazer,clear,1
t-shirt,cargo,blazer,clear,1
t-shirt,trousers,none,snow,1
t-shirt,shorts,jacket,clear,1
t-shirt,legging,none,rain,1
shirt,cargo,jacket,clear,1
dress,jeans,none,rain,1
t-shirt,skirt,none,rain,1
t-shirt,cargo,none,snow,1
shirt,trousers,sweater,clear,1
dress,jeans,coat,clear,1
dress,jeans,sweater,clear,1
t-shirt,trousers,none,rain,1
dress,cargo,none,rain,1
dress,shorts,none,clear,1
dress,skirt,sweater,clear,1
dress,cargo,hoodie,clear,1
t-shirt,none,none,snow,1
t-shirt,none,coat,clear,1
t-shirt,jeans,none,rain,1
t-shirt,cargo,none,snow,1
dress,jogger,blazer,clear,1
t-shirt,skirt,hoodie,clear,1
shirt,shorts,none,rain,1
shirt,trousers,none,snow,1
shirt,cargo,none,rain,1
t-shirt,legging,none,clear,1
dress,shorts,none,snow,1
shirt,cargo,none,snow,1
t-shirt,cargo,none,rain,1
dress,shorts,hoodie,clear,1
t-shirt,none,blazer,clear,1
t-shirt,shorts,jacket,clear,1
dress,cargo,none,snow,1
dress,jogger,none,snow,1
t-shirt,trousers,jacket,clear,1
shirt,jeans,none,clear,1
dress,trousers,blazer,clear,1
t-shirt,legging,hoodie,clear,1
dress,trousers,blazer,clear,1
shirt,jeans,none,snow,1
dress,jogger,jacket,clear,2
dress,cargo,hoodie,clear,2
shirt,trousers,sweater,clear,2
shirt,skirt,none,rain,2
t-shirt,none,none,rain,2
dress,jogger,jacket,clear,2
dress,trousers,hoodie,clear,2
dress,trousers,none,rain,2
dress,jogger,hoodie,clear,2
t-shirt,shorts,hoodie,clear,2
shirt,none,none,rain,2
dress,skirt,blazer,clear,2
t-shirt,none,jacket,clear,2
t-shirt,legging,none,snow,2
dress,trousers,none,snow,2
shirt,legging,hoodie,clear,2
shirt,jogger,none,snow,2
dress,legging,none,snow,2
t-shirt,skirt,none,clear,2
t-shirt,trousers,none,rain,2
shirt,none,none,snow,2
dress,legging,jacket,clear,2
shirt,skirt,none,clear,2
dress,none,none,snow,2
t-shirt,shorts,coat,clear,2
dress,cargo,none,rain,2
shirt,jogger,sweater,clear,2
shirt,shorts,none,clear,2
dress,skirt,blazer,clear,2
shirt,jogger,hoodie,clear,2
t-shirt,none,none,rain,2
shirt,legging,hoodie,clear,2
t-shirt,jeans,hoodie,clear,2
t-shirt,skirt,none,rain,2
shirt,skirt,none,clear,2
t-shirt,skirt,none,rain,2
shirt,none,none,rain,2
t-shirt,none,none,snow,2
shirt,jogger,none,snow,2
t-shirt,trousers,none,snow,2
dress,trousers,none,snow,2
shirt,trousers,none,snow,2
shirt,trousers,none,rain,2
shirt,legging,none,snow,2
shirt,trousers,none,clear,2
dress,cargo,none,snow,2
t-shirt,jogger,none,clear,2
shirt,cargo,none,snow,2
dress,trousers,none,rain,2
shirt,cargo,none,clear,2
dress,trousers,none,rain,2
t-shirt,jeans,none,clear,2
dress,none,none,snow,2
shirt,skirt,none,rain,2
dress,none,none,rain,2
dress,skirt,none,clear,2
t-shirt,skirt,none,rain,2
shirt,legging,none,clear,2
t-shirt,jeans,none,clear,2
shirt,skirt,none,clear,2
t-shirt,trousers,none,snow,2
t-shirt,cargo,none,snow,2
dress,trousers,none,snow,2
t-shirt,shorts,none,snow,2
t-shirt,jeans,none,snow,2
dress,shorts,sweater,clear,2
shirt,cargo,sweater,clear,2
t-shirt,skirt,sweater,clear,2
dress,jeans,none,rain,2
t-shirt,trousers,none,snow,2
dress,skirt,none,snow,2
dress,jeans,none,rain,2
t-shirt,skirt,none,rain,2
t-shirt,trousers,none,snow,2
t-shirt,jeans,none,clear,2
shirt,jogger,hoodie,clear,2
dress,shorts,none,clear,2
dress,legging,none,clear,2
dress,none,none,snow,2
shirt,shorts,sweater,clear,2
t-shirt,trousers,none,rain,2
shirt,jogger,hoodie,clear,2
shirt,skirt,none,snow,2
dress,skirt,none,clear,2
t-shirt,none,none,snow,2
dress,none,none,snow,2
shirt,jeans,none,snow,2
dress,skirt,blazer,clear,2
dress,skirt,none,clear,2
dress,shorts,none,snow,2
t-shirt,jogger,none,clear,2
dress,shorts,none,rain,2
t-shirt,cargo,none,clear,2
dress,trousers,none,snow,2
shirt,shorts,none,snow,2
dress,legging,none,rain,2
t-shirt,skirt,sweater,clear,2
t-shirt,skirt,none,rain,2
t-shirt,legging,none,rain,2
shirt,legging,none,snow,2
dress,none,none,snow,2
t-shirt,legging,none,rain,2
t-shirt,skirt,none,rain,2
dress,skirt,none,clear,2
t-shirt,shorts,none,rain,2
t-shirt,skirt,coat,clear,2
dress,trousers,none,snow,2
dress,none,none,rain,2
t-shirt,skirt,none,clear,2
shirt,jeans,hoodie,clear,2
dress,skirt,none,rain,2
t-shirt,skirt,none,snow,2
shirt,legging,jacket,clear,2
dress,shorts,coat,clear,2
dress,legging,jacket,clear,2
shirt,jeans,none,snow,2
shirt,shorts,sweater,clear,2
dress,jogger,none,rain,2
t-shirt,jeans,none,clear,2
dress,none,none,rain,2
shirt,cargo,none,snow,2
t-shirt,legging,coat,clear,2
t-shirt,skirt,none,rain,2
dress,none,none,snow,2
shirt,none,none,rain,2
dress,trousers,none,snow,2
t-shirt,cargo,blazer,clear,2
t-shirt,jeans,none,snow,2
t-shirt,none,none,rain,2
shirt,trousers,none,rain,2
dress,none,coat,clear,2
shirt,skirt,none,snow,2
shirt,none,none,rain,2
t-shirt,cargo,none,rain,2
shirt,skirt,none,snow,2
shirt,none,none,rain,2
shirt,jeans,hoodie,clear,2
dress,none,none,snow,2
t-shirt,jeans,none,snow,2
t-shirt,shorts,sweater,clear,2
t-shirt,trousers,jacket,clear,2
shirt,legging,none,snow,2
t-shirt,trousers,jacket,clear,2
shirt,jeans,none,snow,2
t-shirt,trousers,jacket,clear,2
t-shirt,trousers,none,snow,2
dress,skirt,none,rain,2
t-shirt,trousers,jacket,clear,2
shirt,trousers,none,snow,2
shirt,trousers,none,rain,2
dress,shorts,none,snow,2
shirt,trousers,none,rain,2
t-shirt,skirt,none,rain,2
shirt,none,none,rain,2
dress,legging,none,rain,2
shirt,trousers,none,rain,2
t-shirt,skirt,none,rain,2
shirt,skirt,none,snow,2
t-shirt,jogger,none,clear,2
shirt,jeans,hoodie,clear,2
shirt,trousers,none,rain,2
dress,jogger,none,rain,2
dress,skirt,none,rain,2
shirt,legging,none,snow,2
shirt,none,hoodie,clear,2
dress,shorts,none,rain,2
shirt,shorts,jacket,clear,2
shirt,trousers,none,rain,2
dress,jogger,none,snow,2
shirt,shorts,none,snow,2
dress,legging,blazer,clear,2
dress,shorts,none,clear,2
t-shirt,none,none,snow,2
dress,skirt,none,rain,2
t-shirt,none,none,rain,2
dress,jogger,hoodie,clear,2
t-shirt,jeans,none,clear,2
dress,none,hoodie,clear,2
dress,jogger,hoodie,clear,2
t-shirt,cargo,none,snow,2
t-shirt,legging,coat,clear,2
shirt,none,none,rain,2
dress,shorts,sweater,clear,2
t-shirt,none,none,rain,2
shirt,jogger,hoodie,clear,2
t-shirt,jeans,none,clear,2
shirt,shorts,none,snow,2
dress,shorts,sweater,clear,2
shirt,cargo,coat,clear,2
shirt,trousers,none,snow,2
shirt,legging,none,snow,2
dress,shorts,coat,clear,2
dress,cargo,none,clear,2
shirt,jeans,hoodie,clear,2
t-shirt,jeans,none,snow,2
t-shirt,jeans,none,snow,2
shirt,jogger,hoodie,clear,2
dress,none,hoodie,clear,2
dress,none,none,rain,2
dress,skirt,blazer,clear,2
shirt,none,none,rain,2
shirt,trousers,none,rain,2
t-shirt,skirt,jacket,clear,2
shirt,legging,hoodie,clear,2
t-shirt,cargo,blazer,clear,2
shirt,trousers,none,snow,2
t-shirt,trousers,jacket,clear,2
dress,skirt,none,snow,2
shirt,legging,none,snow,2
dress,none,none,snow,2
dress,shorts,sweater,clear,2
shirt,jogger,hoodie,clear,2
dress,shorts,coat,clear,2
dress,shorts,none,rain,2
dress,skirt,none,snow,2
dress,none,none,rain,2
shirt,shorts,none,rain,2
shirt,legging,hoodie,clear,2
shirt,skirt,none,rain,2
shirt,jogger,hoodie,clear,2
shirt,trousers,none,snow,2
t-shirt,legging,coat,clear,2
dress,legging,none,clear,2
dress,cargo,jacket,clear,2
shirt,jogger,none,snow,2
dress,none,none,clear,2
t-shirt,none,none,snow,2
shirt,cargo,none,snow,2
t-shirt,trousers,none,clear,2
dress,cargo,none,rain,2
dress,legging,none,rain,2
dress,jeans,none,snow,2
dress,legging,blazer,clear,2
dress,none,hoodie,clear,2
shirt,shorts,none,rain,2
t-shirt,none,none,snow,2
dress,trousers,none,snow,2
t-shirt,trousers,none,rain,2
shirt,skirt,none,snow,2
shirt,skirt,none,snow,2
dress,shorts,none,snow,2
t-shirt,none,none,snow,2
t-shirt,skirt,none,snow,2
shirt,legging,none,snow,2
shirt,jogger,hoodie,clear,2
t-shirt,jeans,none,snow,2
dress,cargo,none,clear,2
shirt,none,none,rain,2
t-shirt,shorts,sweater,clear,2
shirt,jogger,hoodie,clear,2
shirt,skirt,none,clear,2
t-shirt,cargo,blazer,clear,2
dress,cargo,none,snow,2
dress,legging,none,snow,2
shirt,legging,hoodie,clear,2
shirt,legging,none,rain,2
t-shirt,legging,coat,clear,2
shirt,trousers,none,rain,2
shirt,shorts,none,clear,2
shirt,trousers,none,rain,2
t-shirt,shorts,none,rain,2
shirt,jeans,jacket,clear,2
shirt,none,sweater,clear,2
t-shirt,none,none,rain,2
shirt,skirt,blazer,clear,2
t-shirt,trousers,none,rain,2
dress,skirt,none,snow,2
t-shirt,jogger,none,rain,2
dress,cargo,jacket,clear,2
shirt,none,none,rain,2
dress,legging,jacket,clear,2
dress,jogger,none,rain,2
t-shirt,skirt,none,clear,2
t-shirt,skirt,none,clear,2
dress,none,none,rain,2
dress,trousers,hoodie,clear,2
dress,cargo,none,snow,2
dress,cargo,sweater,clear,2
t-shirt,shorts,none,rain,2
shirt,none,none,rain,2
dress,trousers,none,rain,2
dress,cargo,none,rain,2
dress,shorts,coat,clear,2
dress,jeans,none,rain,2
t-shirt,skirt,sweater,clear,2
dress,none,none,snow,2
shirt,skirt,jacket,clear,2
t-shirt,none,jacket,clear,2
t-shirt,shorts,none,rain,2
t-shirt,shorts,sweater,clear,2
dress,legging,jacket,clear,2
shirt,trousers,none,rain,2
shirt,jeans,none,snow,2
t-shirt,skirt,none,rain,2
shirt,cargo,coat,clear,2
dress,none,none,rain,2
dress,shorts,none,snow,2
dress,jogger,jacket,clear,2
shirt,shorts,none,rain,2
t-shirt,none,none,clear,2
shirt,shorts,none,rain,2
shirt,shorts,none,snow,2
t-shirt,none,none,snow,2
shirt,legging,none,snow,2
t-shirt,none,none,snow,2
dress,none,hoodie,clear,2
dress,skirt,none,rain,2
t-shirt,skirt,jacket,clear,2
shirt,none,none,rain,2
t-shirt,shorts,none,rain,2
shirt,jogger,none,snow,2
t-shirt,jogger,coat,clear,2
shirt,skirt,blazer,clear,2
dress,shorts,sweater,clear,2
t-shirt,shorts,none,rain,2
dress,trousers,hoodie,clear,2
shirt,none,none,snow,2
dress,shorts,none,clear,2
dress,none,none,snow,2
dress,legging,none,rain,2
dress,none,sweater,clear,2
dress,none,none,snow,2
t-shirt,jeans,hoodie,clear,2
dress,skirt,none,clear,2
shirt,skirt,none,rain,2
dress,trousers,none,snow,2
t-shirt,trousers,none,snow,2
dress,jogger,none,rain,2
dress,jogger,none,snow,2
dress,jeans,coat,clear,2
shirt,shorts,none,snow,2
shirt,legging,jacket,clear,2
t-shirt,none,none,snow,2
dress,shorts,none,snow,2
t-shirt,trousers,none,snow,2
shirt,shorts,none,rain,2
t-shirt,cargo,hoodie,clear,2
dress,none,none,clear,2
shirt,jeans,none,rain,2
t-shirt,jogger,none,clear,2
shirt,none,none,rain,2
t-shirt,shorts,hoodie,clear,2
shirt,legging,none,snow,2
t-shirt,legging,none,rain,2
dress,cargo,none,clear,2
dress,legging,none,rain,2
shirt,trousers,none,snow,2
t-shirt,jogger,none,rain,2
t-shirt,shorts,hoodie,clear,2
t-shirt,shorts,sweater,clear,2
shirt,shorts,none,clear,2
dress,legging,none,rain,2
dress,none,hoodie,clear,2
dress,none,none,snow,2
dress,skirt,none,clear,2
shirt,shorts,none,rain,2
shirt,jogger,none,rain,2
dress,jogger,none,rain,2
t-shirt,legging,none,snow,2
shirt,jeans,hoodie,clear,2
shirt,none,none,rain,2
dress,cargo,sweater,clear,2
dress,skirt,none,snow,2
dress,legging,none,clear,2
dress,legging,none,rain,2
shirt,jeans,none,snow,2
t-shirt,shorts,none,snow,2
t-shirt,cargo,jacket,clear,2
shirt,cargo,none,snow,2
shirt,cargo,none,snow,2
dress,trousers,none,rain,2
t-shirt,shorts,sweater,clear,2
dress,legging,none,snow,2
shirt,skirt,none,clear,2
t-shirt,none,none,snow,2
dress,trousers,none,rain,2
t-shirt,shorts,jacket,clear,2
dress,none,none,snow,2
t-shirt,shorts,jacket,clear,2
dress,jeans,coat,clear,2
shirt,jeans,none,rain,2
shirt,shorts,none,rain,2
shirt,none,sweater,clear,2
shirt,trousers,none,snow,2
shirt,legging,none,clear,2
dress,trousers,none,rain,2
shirt,shorts,none,snow,2
dress,trousers,none,snow,2
dress,none,none,snow,2
t-shirt,jogger,none,snow,2
shirt,jogger,hoodie,clear,2
dress,none,none,rain,2
dress,none,none,snow,2
shirt,none,none,rain,2
t-shirt,none,none,rain,2
dress,none,none,snow,2
t-shirt,skirt,none,rain,2
dress,cargo,none,clear,2
t-shirt,jeans,none,snow,2
t-shirt,skirt,none,clear,2
shirt,legging,none,clear,2
shirt,shorts,sweater,clear,2
t-shirt,trousers,hoodie,clear,2
shirt,legging,none,clear,2
dress,skirt,none,rain,2
t-shirt,shorts,none,snow,2
t-shirt,jogger,none,snow,2
t-shirt,shorts,hoodie,clear,2
t-shirt,jeans,none,snow,2
dress,jogger,none,snow,2
shirt,jogger,none,snow,2
shirt,shorts,none,clear,2
shirt,legging,none,snow,2
shirt,shorts,none,snow,2
t-shirt,trousers,none,snow,2
shirt,jogger,hoodie,clear,2
shirt,none,none,snow,2
t-shirt,skirt,none,rain,2
t-shirt,none,none,rain,2
shirt,shorts,none,snow,2
shirt,legging,none,snow,2
shirt,none,none,rain,2
shirt,skirt,sweater,clear,2
shirt,none,none,rain,2
shirt,shorts,none,snow,2
dress,jeans,none,rain,2
shirt,shorts,none,clear,2
dress,trousers,hoodie,clear,2
dress,jeans,sweater,clear,2
dress,skirt,none,snow,2
dress,trousers,none,rain,2
shirt,jogger,none,clear,2
t-shirt,none,none,clear,2
shirt,none,blazer,clear,2
dress,shorts,none,clear,2
dress,jogger,none,snow,2
t-shirt,jeans,none,snow,2
shirt,shorts,sweater,clear,2
dress,legging,none,snow,2
t-shirt,trousers,none,clear,2
dress,cargo,none,rain,2
shirt,jeans,jacket,clear,2
dress,skirt,none,snow,2
t-shirt,cargo,jacket,clear,2
dress,legging,jacket,clear,2
dress,trousers,hoodie,clear,2
dress,shorts,none,rain,2
dress,shorts,none,snow,2
dress,trousers,none,snow,2
shirt,skirt,none,snow,2
shirt,cargo,sweater,clear,2
dress,skirt,none,rain,2
shirt,legging,none,clear,2
t-shirt,cargo,hoodie,clear,2
shirt,shorts,none,rain,2
t-shirt,jeans,none,clear,2
shirt,skirt,none,rain,2
shirt,legging,hoodie,clear,2
t-shirt,legging,none,snow,2
shirt,cargo,none,clear,2
t-shirt,shorts,none,snow,2
shirt,none,none,rain,2
dress,legging,none,rain,2
dress,trousers,hoodie,clear,2
dress,skirt,none,snow,2
shirt,skirt,none,clear,2
dress,shorts,none,snow,2
dress,legging,none,rain,2
t-shirt,shorts,none,rain,2
dress,jogger,hoodie,clear,2
shirt,none,none,snow,2
dress,none,none,snow,2
dress,cargo,none,snow,2
t-shirt,jogger,coat,clear,2
dress,jogger,none,rain,2
t-shirt,shorts,none,rain,2
shirt,cargo,none,snow,2
dress,trousers,hoodie,clear,2
shirt,jeans,hoodie,clear,2
dress,trousers,hoodie,clear,2
t-shirt,skirt,jacket,clear,2
t-shirt,shorts,none,rain,2
shirt,skirt,none,rain,2
dress,skirt,none,rain,2
t-shirt,jeans,none,clear,2
shirt,jogger,none,snow,2
shirt,shorts,none,snow,2
dress,none,none,snow,2
dress,none,hoodie,clear,2
dress,cargo,none,snow,2
shirt,shorts,none,rain,2
t-shirt,jeans,none,snow,2
t-shirt,skirt,none,rain,2
t-shirt,shorts,none,rain,2
shirt,none,none,snow,2
shirt,trousers,none,rain,2
t-shirt,none,none,rain,2
shirt,shorts,none,snow,2
dress,trousers,none,rain,2
t-shirt,skirt,none,rain,2
t-shirt,cargo,none,snow,2
shirt,trousers,none,snow,2
dress,trousers,hoodie,clear,2
shirt,shorts,none,snow,2
t-shirt,shorts,jacket,clear,2
shirt,cargo,sweater,clear,2
dress,jeans,none,rain,2
dress,cargo,sweater,clear,2
t-shirt,jeans,none,clear,2
dress,shorts,none,snow,2
t-shirt,trousers,none,snow,2
shirt,shorts,none,snow,2
dress,trousers,none,snow,2
dress,skirt,none,rain,2
dress,shorts,none,clear,2
dress,skirt,none,rain,2
dress,shorts,none,snow,2
dress,jogger,none,snow,2
t-shirt,skirt,none,snow,2
t-shirt,none,none,snow,2
dress,legging,none,snow,2
dress,jogger,none,snow,2
shirt,legging,none,rain,2
t-shirt,none,none,snow,2
shirt,trousers,none,snow,2
shirt,skirt,none,clear,2
t-shirt,jogger,none,rain,2
dress,shorts,none,snow,2
t-shirt,skirt,jacket,clear,2
t-shirt,shorts,none,snow,2
shirt,none,blazer,clear,2
t-shirt,skirt,none,rain,2
dress,shorts,none,clear,2
t-shirt,jogger,none,snow,2
t-shirt,skirt,sweater,clear,2
shirt,legging,none,clear,2
t-shirt,jogger,none,snow,2
shirt,shorts,jacket,clear,2
shirt,jeans,none,rain,2
shirt,jogger,hoodie,clear,2
shirt,legging,none,snow,2
t-shirt,none,none,snow,2
dress,jeans,sweater,clear,2
t-shirt,none,none,rain,2
dress,cargo,none,clear,2
t-shirt,skirt,none,rain,2
shirt,skirt,none,snow,2
shirt,cargo,none,clear,2
t-shirt,shorts,none,rain,2
dress,skirt,none,rain,2
t-shirt,shorts,coat,clear,2
dress,skirt,blazer,clear,2
shirt,none,none,snow,2
dress,cargo,none,rain,2
dress,trousers,hoodie,clear,2
shirt,cargo,none,rain,2
shirt,trousers,none,clear,2
shirt,none,none,snow,2
t-shirt,shorts,sweater,clear,2
shirt,trousers,sweater,clear,2
shirt,none,none,rain,2
dress,jeans,coat,clear,2
dress,legging,none,rain,2
dress,trousers,none,rain,2
dress,none,sweater,clear,2
t-shirt,none,none,rain,2
shirt,trousers,none,rain,2
t-shirt,skirt,none,clear,2
t-shirt,legging,none,rain,2
t-shirt,jogger,none,rain,2
dress,shorts,sweater,clear,2
dress,shorts,none,rain,2
t-shirt,cargo,none,clear,2
shirt,jogger,none,snow,2
dress,shorts,coat,clear,2
shirt,trousers,none,snow,2
dress,jogger,jacket,clear,2
dress,trousers,none,snow,2
t-shirt,jeans,none,clear,2
dress,jeans,none,snow,2
shirt,shorts,jacket,clear,2
dress,trousers,none,rain,2
dress,none,hoodie,clear,2
dress,skirt,none,clear,2
dress,jogger,none,rain,2
shirt,legging,none,snow,2
dress,cargo,none,rain,2
t-shirt,trousers,none,snow,2
dress,jeans,sweater,clear,2
t-shirt,none,none,snow,2
shirt,legging,none,snow,2
t-shirt,trousers,none,snow,2
shirt,none,none,snow,2
t-shirt,none,none,clear,2
t-shirt,skirt,none,rain,2
shirt,cargo,none,rain,2
dress,legging,none,rain,2
t-shirt,none,none,clear,2
shirt,cargo,none,snow,2
dress,jogger,none,snow,2
dress,jeans,blazer,clear,2
dress,trousers,none,rain,2
t-shirt,none,none,rain,2
t-shirt,jeans,none,snow,2
t-shirt,shorts,sweater,clear,2
shirt,trousers,none,snow,2
shirt,legging,none,snow,2
shirt,trousers,none,snow,2
shirt,trousers,none,snow,2
t-shirt,trousers,none,rain,2
dress,none,none,snow,2
shirt,jeans,hoodie,clear,2
t-shirt,jogger,blazer,clear,2
dress,trousers,hoodie,clear,2
dress,cargo,none,rain,2
dress,shorts,none,snow,2
shirt,none,none,rain,2
dress,legging,jacket,clear,2
shirt,jogger,none,snow,2
shirt,none,none,snow,2
dress,jeans,sweater,clear,2
t-shirt,jeans,none,snow,2
dress,trousers,none,rain,2
t-shirt,skirt,none,snow,2
shirt,none,none,snow,2
dress,skirt,blazer,clear,2
t-shirt,jogger,none,clear,2
t-shirt,legging,none,rain,2
dress,trousers,none,rain,2
shirt,shorts,none,rain,2
dress,trousers,none,snow,2
dress,skirt,none,clear,2
dress,shorts,none,clear,2
shirt,skirt,none,snow,2
dress,cargo,hoodie,clear,2
dress,none,none,snow,2
t-shirt,jogger,blazer,clear,2
t-shirt,skirt,none,clear,2
dress,skirt,none,clear,2
shirt,trousers,none,snow,2
t-shirt,trousers,jacket,clear,2
dress,legging,none,snow,2
t-shirt,shorts,sweater,clear,2
t-shirt,cargo,none,clear,2
shirt,skirt,blazer,clear,2
shirt,skirt,none,snow,2
dress,skirt,none,clear,2
t-shirt,skirt,none,rain,2
t-shirt,jeans,none,clear,2
dress,skirt,blazer,clear,2
t-shirt,trousers,none,rain,2
dress,jeans,coat,clear,2
t-shirt,skirt,none,rain,2
dress,skirt,none,rain,2
dress,cargo,none,rain,2
dress,none,none,snow,2
dress,jeans,blazer,clear,2
dress,none,none,clear,2
dress,shorts,none,clear,2
dress,none,none,snow,2
dress,trousers,none,snow,2
dress,trousers,none,snow,2
t-shirt,skirt,jacket,clear,2
t-shirt,jeans,none,clear,2
shirt,cargo,none,clear,2
shirt,none,none,rain,2
t-shirt,skirt,none,rain,2
shirt,legging,jacket,clear,2
dress,legging,none,rain,2
shirt,none,none,snow,2
dress,skirt,none,rain,2
t-shirt,skirt,none,clear,2
dress,skirt,none,rain,2
shirt,none,none,snow,2
shirt,skirt,none,rain,2
shirt,cargo,jacket,clear,2
t-shirt,jeans,none,snow,2
shirt,skirt,sweater,clear,2
shirt,none,blazer,clear,2
dress,jeans,blazer,clear,2
shirt,shorts,none,snow,2
dress,jeans,blazer,clear,2
shirt,none,none,snow,2
dress,jeans,blazer,clear,2
t-shirt,skirt,none,clear,2
t-shirt,shorts,none,rain,2
shirt,shorts,none,snow,2
shirt,jeans,none,snow,2
shirt,legging,none,snow,2
t-shirt,shorts,sweater,clear,2
dress,jeans,none,snow,2
shirt,jogger,none,snow,2
t-shirt,none,jacket,clear,2
shirt,trousers,none,rain,2
shirt,shorts,none,rain,2
dress,shorts,sweater,clear,2
shirt,shorts,none,rain,2
t-shirt,shorts,sweater,clear,2
shirt,none,none,rain,2
dress,none,coat,clear,2
dress,jogger,none,rain,2
t-shirt,skirt,none,snow,2
dress,none,none,rain,2
dress,legging,none,snow,2
shirt,jogger,none,snow,2
dress,none,none,rain,2
shirt,shorts,none,clear,2
shirt,legging,none,snow,2
dress,shorts,none,snow,2
shirt,trousers,none,snow,2
shirt,shorts,none,rain,2
dress,jogger,none,rain,2
dress,none,sweater,clear,2
t-shirt,cargo,hoodie,clear,2
shirt,shorts,sweater,clear,2
dress,shorts,none,rain,2
dress,skirt,none,rain,2
t-shirt,skirt,none,clear,2
dress,trousers,hoodie,clear,2
dress,jeans,sweater,clear,2
dress,none,sweater,clear,2
dress,skirt,none,rain,2
shirt,none,none,rain,2
dress,cargo,none,snow,2
t-shirt,trousers,jacket,clear,2
dress,shorts,coat,clear,2
shirt,shorts,none,rain,2
shirt,none,none,snow,2
t-shirt,shorts,jacket,clear,2
dress,cargo,sweater,clear,2
shirt,cargo,none,snow,2
dress,jeans,none,rain,2
t-shirt,none,none,rain,2
shirt,legging,hoodie,clear,2
dress,cargo,sweater,clear,2
shirt,trousers,none,snow,2
dress,jeans,none,rain,2
t-shirt,none,none,snow,2
shirt,skirt,none,snow,2
t-shirt,skirt,none,clear,2
t-shirt,cargo,jacket,clear,2
shirt,trousers,none,rain,2
t-shirt,trousers,hoodie,clear,2
shirt,jeans,none,snow,2
shirt,cargo,none,snow,2
t-shirt,cargo,hoodie,clear,2
t-shirt,shorts,sweater,clear,2
t-shirt,trousers,none,snow,2
t-shirt,skirt,none,clear,2
dress,none,coat,clear,2
dress,jogger,none,snow,2
t-shirt,none,none,snow,2
shirt,none,none,snow,2
shirt,cargo,coat,clear,2
shirt,jogger,none,snow,2
shirt,skirt,none,rain,2
shirt,skirt,none,snow,2
dress,shorts,none,snow,2
dress,skirt,blazer,clear,2
shirt,shorts,sweater,clear,2
t-shirt,cargo,hoodie,clear,2
t-shirt,jeans,hoodie,clear,2
dress,skirt,none,clear,2
shirt,shorts,none,snow,2
t-shirt,jeans,hoodie,clear,2
dress,skirt,none,snow,2
t-shirt,skirt,none,rain,2
dress,legging,none,rain,2
shirt,skirt,jacket,clear,2
dress,cargo,none,clear,2
t-shirt,skirt,sweater,clear,2
t-shirt,shorts,none,rain,2
dress,shorts,coat,clear,2
dress,skirt,none,rain,2
shirt,none,none,rain,2
dress,skirt,none,snow,2
dress,skirt,none,snow,2
shirt,none,none,rain,2
shirt,trousers,none,rain,2
dress,jogger,none,rain,2
shirt,cargo,jacket,clear,2
dress,legging,none,rain,2
shirt,shorts,none,snow,2
dress,trousers,none,snow,2
dress,jeans,blazer,clear,2
t-shirt,cargo,none,snow,2
t-shirt,skirt,none,rain,2
t-shirt,cargo,none,snow,2
shirt,cargo,none,snow,2
dress,legging,blazer,clear,2
shirt,legging,none,snow,2
shirt,shorts,none,rain,2
shirt,legging,jacket,clear,2
