top,bottom,outer,styleTop,styleBottom,styleOuter,styleUser,userLike
shirt,shorts,blazer,sporty,sporty,sporty,sporty,1
t-shirt,shorts,sweater,streetwear,casual,streetwear,casual,0
shirt,cargo,jacket,streetwear,streetwear,formal,streetwear,1
t-shirt,jogger,coat,streetwear,formal,casual,streetwear,0
shirt,skirt,blazer,vintage,vintage,streetwear,formal,0
shirt,trousers,sweater,casual,vintage,casual,casual,1
t-shirt,jeans,hoodie,sporty,sporty,vintage,sporty,1
shirt,skirt,hoodie,vintage,vintage,formal,vintage,1
t-shirt,legging,blazer,sporty,streetwear,streetwear,streetwear,1
t-shirt,jeans,hoodie,casual,sporty,sporty,streetwear,0
t-shirt,legging,jacket,casual,formal,formal,formal,1
t-shirt,jogger,sweater,casual,sporty,vintage,vintage,0
shirt,shorts,coat,sporty,sporty,streetwear,sporty,1
t-shirt,jogger,hoodie,formal,sporty,formal,formal,1
t-shirt,legging,blazer,streetwear,sporty,streetwear,streetwear,1
shirt,jogger,blazer,casual,casual,casual,casual,1
shirt,jeans,blazer,sporty,streetwear,streetwear,streetwear,1
t-shirt,cargo,jacket,formal,streetwear,casual,casual,0
shirt,skirt,blazer,streetwear,streetwear,vintage,casual,0
shirt,jeans,jacket,vintage,vintage,sporty,casual,0
t-shirt,trousers,sweater,sporty,vintage,streetwear,sporty,0
t-shirt,shorts,blazer,sporty,casual,vintage,vintage,0
shirt,trousers,hoodie,casual,formal,casual,casual,1
t-shirt,jeans,sweater,sporty,formal,formal,formal,1
shirt,shorts,jacket,streetwear,sporty,vintage,streetwear,0
t-shirt,trousers,hoodie,sporty,formal,formal,formal,1
dress,none,blazer,casual,vintage,vintage,vintage,1
t-shirt,trousers,coat,casual,vintage,casual,formal,0
dress,none,sweater,sporty,sporty,formal,sporty,1
shirt,legging,hoodie,casual,sporty,streetwear,casual,0
t-shirt,cargo,hoodie,formal,casual,sporty,casual,0
shirt,shorts,sweater,formal,formal,streetwear,formal,1
dress,none,hoodie,vintage,formal,formal,vintage,0
shirt,legging,coat,vintage,vintage,formal,vintage,1
shirt,legging,blazer,streetwear,casual,sporty,sporty,0
t-shirt,jeans,jacket,casual,casual,casual,casual,1
shirt,jeans,coat,sporty,formal,casual,formal,0
shirt,legging,hoodie,casual,casual,sporty,formal,0
shirt,shorts,sweater,vintage,casual,casual,vintage,0
shirt,cargo,blazer,sporty,casual,sporty,casual,0
dress,none,blazer,vintage,vintage,formal,vintage,1
shirt,trousers,coat,vintage,formal,streetwear,vintage,0
t-shirt,jeans,jacket,sporty,vintage,vintage,streetwear,0
t-shirt,jogger,blazer,sporty,vintage,vintage,vintage,1
t-shirt,legging,hoodie,streetwear,streetwear,sporty,streetwear,1
t-shirt,shorts,hoodie,casual,casual,streetwear,streetwear,0
t-shirt,legging,sweater,formal,vintage,formal,formal,1
shirt,jeans,sweater,vintage,formal,formal,streetwear,0
t-shirt,skirt,sweater,casual,vintage,casual,casual,1
t-shirt,cargo,sweater,formal,formal,formal,formal,1
t-shirt,jogger,hoodie,sporty,sporty,casual,sporty,1
shirt,jeans,hoodie,formal,streetwear,casual,casual,0
dress,none,blazer,streetwear,sporty,streetwear,vintage,0
t-shirt,skirt,coat,formal,formal,casual,formal,1
shirt,cargo,hoodie,streetwear,casual,casual,casual,1
t-shirt,trousers,coat,casual,vintage,casual,streetwear,0
shirt,legging,coat,casual,casual,formal,streetwear,0
t-shirt,jogger,sweater,vintage,sporty,streetwear,streetwear,0
shirt,legging,jacket,formal,streetwear,streetwear,streetwear,1
shirt,shorts,sweater,formal,sporty,formal,formal,1
shirt,trousers,blazer,vintage,vintage,vintage,vintage,1
shirt,skirt,coat,sporty,casual,sporty,streetwear,0
shirt,shorts,coat,casual,casual,sporty,formal,0
shirt,legging,blazer,sporty,sporty,streetwear,casual,0
shirt,skirt,jacket,formal,streetwear,formal,formal,1
t-shirt,jeans,blazer,vintage,vintage,sporty,vintage,1
t-shirt,cargo,blazer,sporty,vintage,streetwear,vintage,0
shirt,legging,coat,vintage,streetwear,formal,formal,0
shirt,cargo,blazer,casual,formal,casual,casual,1
t-shirt,shorts,jacket,sporty,sporty,formal,casual,0
shirt,skirt,hoodie,casual,casual,streetwear,vintage,0
t-shirt,skirt,coat,sporty,formal,casual,sporty,0
shirt,legging,hoodie,sporty,formal,sporty,casual,0
shirt,trousers,jacket,formal,sporty,formal,formal,1
t-shirt,trousers,hoodie,vintage,casual,sporty,casual,0
t-shirt,jeans,sweater,streetwear,sporty,casual,sporty,0
shirt,skirt,hoodie,vintage,streetwear,formal,vintage,0
t-shirt,trousers,hoodie,streetwear,sporty,sporty,sporty,1
t-shirt,cargo,blazer,sporty,streetwear,streetwear,formal,0
dress,none,coat,streetwear,vintage,casual,streetwear,0
shirt,shorts,sweater,streetwear,streetwear,formal,casual,0
dress,none,hoodie,casual,casual,sporty,casual,1
t-shirt,jogger,blazer,casual,vintage,vintage,formal,0
t-shirt,cargo,coat,vintage,vintage,casual,streetwear,0
shirt,trousers,jacket,sporty,formal,formal,vintage,0
shirt,shorts,sweater,sporty,vintage,sporty,sporty,1
t-shirt,legging,jacket,sporty,sporty,sporty,sporty,1
t-shirt,trousers,blazer,casual,sporty,sporty,sporty,1
dress,none,blazer,streetwear,casual,vintage,streetwear,0
t-shirt,trousers,hoodie,sporty,vintage,vintage,vintage,1
t-shirt,jogger,jacket,vintage,vintage,streetwear,vintage,1
t-shirt,jogger,sweater,streetwear,formal,streetwear,streetwear,1
t-shirt,jeans,jacket,streetwear,sporty,casual,streetwear,0
t-shirt,skirt,coat,formal,streetwear,formal,vintage,0
t-shirt,legging,hoodie,formal,casual,formal,casual,0
t-shirt,legging,blazer,casual,streetwear,casual,streetwear,0
t-shirt,trousers,blazer,formal,formal,casual,formal,1
t-shirt,trousers,hoodie,streetwear,streetwear,streetwear,sporty,0
t-shirt,trousers,jacket,streetwear,vintage,streetwear,formal,0
shirt,legging,coat,formal,formal,streetwear,sporty,0
t-shirt,jeans,sweater,formal,casual,formal,vintage,0
t-shirt,jeans,blazer,formal,casual,formal,casual,0
t-shirt,legging,blazer,sporty,sporty,vintage,sporty,1
t-shirt,cargo,blazer,formal,formal,sporty,vintage,0
shirt,jogger,sweater,casual,formal,streetwear,streetwear,0
t-shirt,shorts,hoodie,streetwear,casual,casual,casual,1
shirt,shorts,sweater,casual,sporty,formal,casual,0
t-shirt,legging,blazer,streetwear,vintage,sporty,sporty,0
t-shirt,shorts,blazer,vintage,vintage,vintage,vintage,1
t-shirt,jeans,hoodie,vintage,streetwear,streetwear,casual,0
t-shirt,cargo,jacket,vintage,casual,sporty,casual,0
t-shirt,legging,coat,vintage,formal,vintage,casual,0
shirt,legging,jacket,casual,casual,formal,casual,1
t-shirt,jeans,sweater,sporty,streetwear,casual,casual,0
shirt,shorts,hoodie,formal,sporty,formal,streetwear,0
shirt,legging,hoodie,vintage,streetwear,streetwear,casual,0
shirt,skirt,hoodie,formal,formal,sporty,formal,1
shirt,jogger,coat,vintage,vintage,streetwear,vintage,1
t-shirt,shorts,sweater,casual,streetwear,casual,vintage,0
t-shirt,trousers,blazer,formal,sporty,streetwear,streetwear,0
dress,none,jacket,vintage,sporty,sporty,vintage,0
shirt,cargo,coat,streetwear,vintage,sporty,streetwear,0
shirt,jogger,hoodie,casual,casual,sporty,formal,0
t-shirt,trousers,hoodie,vintage,casual,vintage,vintage,1
t-shirt,jeans,coat,casual,streetwear,sporty,sporty,0
shirt,shorts,jacket,casual,casual,formal,streetwear,0
t-shirt,trousers,hoodie,vintage,streetwear,streetwear,streetwear,1
t-shirt,legging,hoodie,streetwear,streetwear,vintage,streetwear,1
t-shirt,cargo,sweater,casual,formal,formal,streetwear,0
t-shirt,jogger,coat,sporty,vintage,vintage,vintage,1
t-shirt,jogger,blazer,streetwear,streetwear,streetwear,vintage,0
shirt,shorts,sweater,sporty,formal,sporty,sporty,1
t-shirt,skirt,sweater,streetwear,sporty,casual,streetwear,0
t-shirt,shorts,sweater,casual,casual,formal,sporty,0
t-shirt,trousers,coat,formal,streetwear,formal,formal,1
t-shirt,jogger,sweater,vintage,vintage,vintage,vintage,1
t-shirt,trousers,coat,vintage,vintage,sporty,formal,0
shirt,legging,sweater,streetwear,streetwear,casual,streetwear,1
shirt,jeans,blazer,casual,vintage,formal,casual,0
t-shirt,legging,hoodie,streetwear,formal,streetwear,streetwear,1
t-shirt,trousers,sweater,sporty,casual,sporty,sporty,1
shirt,legging,jacket,vintage,sporty,sporty,sporty,1
t-shirt,legging,sweater,streetwear,casual,sporty,sporty,0
shirt,cargo,coat,vintage,casual,sporty,sporty,0
shirt,skirt,jacket,streetwear,casual,vintage,casual,0
t-shirt,skirt,hoodie,vintage,sporty,sporty,sporty,1
dress,none,jacket,formal,formal,streetwear,formal,1
t-shirt,shorts,sweater,sporty,formal,casual,casual,0
shirt,legging,coat,casual,casual,casual,casual,1
shirt,jeans,blazer,casual,casual,sporty,formal,0
t-shirt,jogger,blazer,vintage,vintage,vintage,vintage,1
t-shirt,trousers,blazer,streetwear,streetwear,casual,streetwear,1
shirt,jogger,coat,casual,streetwear,streetwear,streetwear,1
shirt,cargo,hoodie,sporty,casual,sporty,casual,0
shirt,jogger,blazer,vintage,streetwear,streetwear,streetwear,1
t-shirt,jeans,blazer,sporty,streetwear,streetwear,streetwear,1
shirt,shorts,coat,sporty,vintage,sporty,sporty,1
t-shirt,skirt,hoodie,casual,formal,streetwear,streetwear,0
dress,none,jacket,vintage,vintage,vintage,sporty,0
shirt,shorts,hoodie,vintage,vintage,sporty,vintage,1
dress,none,coat,casual,formal,formal,casual,0
t-shirt,jeans,hoodie,casual,casual,streetwear,casual,1
t-shirt,jogger,coat,sporty,formal,formal,casual,0
shirt,jogger,jacket,formal,formal,streetwear,formal,1
t-shirt,skirt,coat,formal,casual,streetwear,formal,0
shirt,legging,hoodie,formal,sporty,formal,formal,1
shirt,cargo,hoodie,vintage,sporty,sporty,formal,0
t-shirt,shorts,blazer,vintage,casual,streetwear,streetwear,0
t-shirt,skirt,coat,formal,vintage,casual,formal,0
t-shirt,jeans,sweater,streetwear,formal,streetwear,sporty,0
t-shirt,cargo,coat,vintage,casual,vintage,formal,0
t-shirt,jeans,jacket,streetwear,formal,streetwear,streetwear,1
shirt,skirt,coat,sporty,sporty,streetwear,casual,0
t-shirt,trousers,coat,formal,sporty,vintage,vintage,0
shirt,jeans,sweater,formal,formal,casual,streetwear,0
t-shirt,jogger,jacket,vintage,casual,formal,formal,0
shirt,shorts,hoodie,vintage,streetwear,vintage,vintage,1
shirt,legging,blazer,casual,formal,casual,casual,1
shirt,legging,sweater,formal,sporty,formal,sporty,0
shirt,jeans,sweater,sporty,formal,casual,sporty,0
t-shirt,legging,coat,sporty,casual,sporty,sporty,1
shirt,legging,blazer,sporty,formal,sporty,casual,0
t-shirt,shorts,jacket,formal,formal,streetwear,streetwear,0
t-shirt,cargo,blazer,vintage,casual,streetwear,streetwear,0
t-shirt,trousers,hoodie,formal,sporty,casual,sporty,0
shirt,jeans,sweater,streetwear,streetwear,sporty,streetwear,1
t-shirt,shorts,hoodie,sporty,sporty,casual,sporty,1
t-shirt,legging,blazer,vintage,sporty,vintage,vintage,1
t-shirt,jeans,jacket,sporty,streetwear,casual,sporty,0
t-shirt,legging,hoodie,casual,streetwear,casual,streetwear,0
shirt,jeans,hoodie,vintage,casual,sporty,sporty,0
t-shirt,skirt,blazer,vintage,vintage,streetwear,streetwear,0
t-shirt,legging,sweater,sporty,streetwear,formal,streetwear,0
shirt,jeans,hoodie,vintage,vintage,sporty,vintage,1
t-shirt,cargo,hoodie,sporty,sporty,casual,streetwear,0
shirt,jogger,hoodie,sporty,casual,casual,casual,1
dress,none,hoodie,sporty,sporty,casual,casual,0
t-shirt,shorts,sweater,formal,vintage,sporty,formal,0
t-shirt,skirt,jacket,vintage,streetwear,formal,streetwear,0
shirt,jeans,hoodie,casual,sporty,casual,formal,0
shirt,jeans,blazer,streetwear,sporty,streetwear,streetwear,1
t-shirt,shorts,coat,streetwear,formal,formal,formal,1
dress,none,blazer,streetwear,sporty,sporty,sporty,1
shirt,cargo,coat,casual,sporty,casual,casual,1
t-shirt,skirt,jacket,streetwear,formal,formal,formal,1
shirt,trousers,blazer,formal,vintage,casual,casual,0
t-shirt,jogger,sweater,formal,sporty,vintage,sporty,0
t-shirt,cargo,coat,streetwear,formal,formal,formal,1
t-shirt,jogger,hoodie,casual,casual,formal,casual,1
t-shirt,cargo,coat,sporty,sporty,streetwear,sporty,1
t-shirt,jogger,coat,vintage,vintage,casual,sporty,0
t-shirt,jeans,jacket,vintage,streetwear,streetwear,streetwear,1
t-shirt,jeans,blazer,formal,streetwear,formal,formal,1
dress,none,blazer,casual,streetwear,casual,casual,1
t-shirt,legging,coat,casual,sporty,casual,casual,1
shirt,shorts,coat,vintage,casual,vintage,streetwear,0
shirt,skirt,jacket,formal,formal,casual,casual,0
dress,none,jacket,streetwear,streetwear,formal,streetwear,1
t-shirt,cargo,blazer,formal,formal,streetwear,formal,1
t-shirt,skirt,hoodie,sporty,streetwear,vintage,sporty,0
shirt,shorts,sweater,casual,vintage,casual,sporty,0
shirt,cargo,blazer,vintage,vintage,streetwear,formal,0
t-shirt,skirt,sweater,casual,streetwear,formal,streetwear,0
shirt,cargo,sweater,vintage,formal,streetwear,formal,0
dress,none,hoodie,vintage,sporty,vintage,vintage,1
shirt,trousers,jacket,casual,casual,sporty,vintage,0
shirt,skirt,sweater,formal,streetwear,sporty,sporty,0
shirt,trousers,hoodie,casual,vintage,vintage,vintage,1
shirt,jogger,jacket,streetwear,streetwear,vintage,streetwear,1
t-shirt,jogger,hoodie,streetwear,streetwear,sporty,formal,0
shirt,cargo,coat,casual,vintage,sporty,casual,0
t-shirt,trousers,hoodie,sporty,streetwear,sporty,formal,0
dress,none,sweater,streetwear,streetwear,sporty,streetwear,1
t-shirt,skirt,sweater,sporty,sporty,casual,sporty,1
t-shirt,shorts,sweater,sporty,streetwear,streetwear,sporty,0
t-shirt,shorts,hoodie,casual,casual,formal,casual,1
t-shirt,skirt,jacket,sporty,streetwear,sporty,casual,0
t-shirt,cargo,jacket,formal,sporty,formal,formal,1
t-shirt,skirt,hoodie,sporty,streetwear,casual,streetwear,0
t-shirt,legging,coat,casual,vintage,sporty,vintage,0
shirt,legging,hoodie,casual,streetwear,casual,streetwear,0
shirt,legging,hoodie,formal,vintage,formal,formal,1
shirt,legging,blazer,formal,vintage,streetwear,formal,0
shirt,jogger,jacket,streetwear,casual,casual,casual,1
shirt,skirt,jacket,formal,formal,sporty,sporty,0
shirt,cargo,sweater,sporty,streetwear,streetwear,formal,0
shirt,trousers,sweater,vintage,vintage,vintage,vintage,1
shirt,shorts,sweater,formal,streetwear,streetwear,streetwear,1
shirt,shorts,jacket,streetwear,casual,streetwear,sporty,0
t-shirt,trousers,sweater,formal,sporty,sporty,sporty,1
shirt,jeans,sweater,formal,casual,vintage,formal,0
dress,none,jacket,casual,casual,sporty,formal,0
shirt,shorts,hoodie,casual,sporty,casual,casual,1
t-shirt,shorts,coat,formal,sporty,sporty,streetwear,0
shirt,jogger,hoodie,vintage,vintage,vintage,sporty,0
shirt,skirt,coat,sporty,streetwear,casual,streetwear,0
t-shirt,jeans,sweater,casual,streetwear,casual,casual,1
dress,none,jacket,vintage,formal,sporty,vintage,0
shirt,jeans,sweater,casual,streetwear,casual,sporty,0
shirt,jeans,sweater,streetwear,streetwear,sporty,casual,0
shirt,jogger,coat,sporty,sporty,casual,formal,0
shirt,legging,blazer,sporty,sporty,sporty,sporty,1
t-shirt,legging,sweater,streetwear,vintage,vintage,sporty,0
t-shirt,jogger,coat,casual,casual,vintage,casual,1
shirt,jeans,hoodie,casual,streetwear,casual,casual,1
shirt,shorts,hoodie,vintage,vintage,vintage,vintage,1
t-shirt,jeans,coat,casual,sporty,vintage,vintage,0
shirt,jogger,sweater,formal,streetwear,streetwear,formal,0
shirt,legging,blazer,streetwear,casual,streetwear,streetwear,1
t-shirt,shorts,sweater,formal,sporty,sporty,sporty,1
shirt,legging,hoodie,vintage,casual,vintage,vintage,1
shirt,skirt,jacket,sporty,streetwear,sporty,vintage,0
t-shirt,jeans,jacket,sporty,sporty,sporty,sporty,1
shirt,skirt,blazer,casual,sporty,sporty,casual,0
shirt,legging,coat,formal,casual,formal,streetwear,0
shirt,jogger,blazer,vintage,streetwear,vintage,vintage,1
shirt,legging,jacket,sporty,vintage,sporty,sporty,1
t-shirt,trousers,jacket,vintage,vintage,streetwear,vintage,1
shirt,jeans,sweater,sporty,streetwear,casual,casual,0
shirt,cargo,sweater,sporty,streetwear,sporty,sporty,1
t-shirt,jeans,jacket,casual,sporty,casual,vintage,0
t-shirt,jeans,blazer,streetwear,streetwear,streetwear,streetwear,1
t-shirt,skirt,jacket,casual,casual,casual,formal,0
shirt,cargo,jacket,formal,formal,streetwear,streetwear,0
shirt,shorts,jacket,sporty,vintage,casual,casual,0
t-shirt,legging,hoodie,vintage,formal,vintage,casual,0
t-shirt,shorts,hoodie,vintage,vintage,casual,vintage,1
dress,none,jacket,formal,casual,formal,casual,0
t-shirt,jogger,sweater,vintage,vintage,formal,vintage,1
t-shirt,jogger,sweater,streetwear,sporty,streetwear,casual,0
shirt,cargo,blazer,vintage,vintage,casual,vintage,1
t-shirt,skirt,blazer,streetwear,streetwear,casual,vintage,0
shirt,trousers,coat,vintage,vintage,sporty,vintage,1
t-shirt,shorts,blazer,sporty,sporty,sporty,formal,0
t-shirt,jeans,sweater,vintage,streetwear,vintage,vintage,1
t-shirt,legging,coat,sporty,vintage,vintage,streetwear,0
t-shirt,cargo,blazer,streetwear,vintage,casual,casual,0
shirt,legging,coat,sporty,casual,sporty,sporty,1
shirt,shorts,sweater,formal,streetwear,formal,formal,1
shirt,legging,sweater,formal,formal,sporty,formal,1
shirt,legging,hoodie,casual,casual,formal,casual,1
shirt,legging,hoodie,casual,vintage,casual,casual,1
dress,none,jacket,formal,formal,sporty,sporty,0
shirt,cargo,coat,formal,sporty,sporty,sporty,1
shirt,legging,coat,vintage,vintage,sporty,vintage,1
t-shirt,jeans,sweater,vintage,sporty,vintage,vintage,1
t-shirt,skirt,sweater,casual,casual,sporty,casual,1
t-shirt,jogger,jacket,streetwear,vintage,vintage,vintage,1
t-shirt,legging,blazer,streetwear,streetwear,casual,streetwear,1
shirt,skirt,coat,formal,formal,formal,formal,1
shirt,skirt,blazer,formal,formal,formal,sporty,0
dress,none,sweater,formal,vintage,casual,vintage,0
shirt,skirt,blazer,formal,streetwear,streetwear,streetwear,1
t-shirt,jeans,jacket,streetwear,casual,casual,casual,1
shirt,legging,hoodie,vintage,sporty,sporty,sporty,1
shirt,jogger,hoodie,vintage,streetwear,sporty,vintage,0
shirt,trousers,blazer,formal,streetwear,vintage,streetwear,0
shirt,legging,sweater,sporty,formal,vintage,sporty,0
dress,none,blazer,sporty,streetwear,streetwear,streetwear,1
t-shirt,legging,jacket,vintage,casual,casual,casual,1
t-shirt,jeans,coat,vintage,casual,vintage,vintage,1
shirt,jeans,coat,vintage,formal,formal,formal,1
shirt,trousers,sweater,casual,casual,casual,casual,1
shirt,legging,blazer,sporty,formal,streetwear,streetwear,0
t-shirt,jeans,blazer,casual,streetwear,formal,streetwear,0
shirt,skirt,coat,casual,formal,casual,casual,1
t-shirt,shorts,coat,streetwear,sporty,casual,streetwear,0
t-shirt,jogger,coat,casual,vintage,vintage,formal,0
t-shirt,jeans,jacket,casual,casual,formal,casual,1
shirt,cargo,sweater,casual,sporty,casual,casual,1
t-shirt,shorts,blazer,formal,sporty,streetwear,streetwear,0
shirt,cargo,jacket,streetwear,casual,casual,casual,1
t-shirt,skirt,hoodie,casual,vintage,casual,formal,0
t-shirt,legging,blazer,vintage,casual,sporty,vintage,0
t-shirt,legging,sweater,vintage,formal,vintage,vintage,1
shirt,trousers,blazer,formal,sporty,formal,casual,0
t-shirt,jeans,blazer,formal,streetwear,formal,vintage,0
t-shirt,cargo,hoodie,casual,streetwear,vintage,casual,0
shirt,skirt,blazer,casual,sporty,sporty,sporty,1
shirt,skirt,blazer,casual,casual,formal,sporty,0
t-shirt,skirt,blazer,vintage,vintage,formal,vintage,1
dress,none,coat,sporty,streetwear,streetwear,streetwear,1
t-shirt,legging,jacket,streetwear,vintage,streetwear,vintage,0
shirt,shorts,coat,casual,vintage,casual,casual,1
shirt,trousers,coat,sporty,formal,formal,sporty,0
dress,none,jacket,streetwear,streetwear,casual,casual,0
dress,none,jacket,sporty,formal,formal,formal,1
t-shirt,jogger,sweater,streetwear,streetwear,casual,streetwear,1
t-shirt,jeans,sweater,formal,formal,streetwear,formal,1
shirt,jogger,jacket,formal,sporty,casual,sporty,0
dress,none,jacket,streetwear,vintage,formal,vintage,0
shirt,skirt,coat,vintage,vintage,streetwear,streetwear,0
shirt,jeans,sweater,sporty,sporty,streetwear,sporty,1
t-shirt,trousers,hoodie,casual,casual,streetwear,casual,1
shirt,jogger,sweater,vintage,formal,formal,formal,1
shirt,jeans,coat,formal,sporty,streetwear,streetwear,0
t-shirt,shorts,blazer,formal,casual,sporty,sporty,0
shirt,trousers,blazer,sporty,vintage,sporty,vintage,0
shirt,jeans,blazer,formal,sporty,sporty,sporty,1
t-shirt,jogger,hoodie,streetwear,sporty,sporty,sporty,1
shirt,cargo,sweater,vintage,vintage,casual,vintage,1
shirt,jogger,coat,formal,casual,formal,casual,0
t-shirt,jogger,coat,formal,vintage,vintage,vintage,1
shirt,jeans,blazer,casual,streetwear,streetwear,streetwear,1
dress,none,jacket,sporty,formal,sporty,casual,0
shirt,trousers,hoodie,vintage,vintage,vintage,vintage,1
t-shirt,jeans,sweater,streetwear,formal,streetwear,vintage,0
t-shirt,shorts,jacket,streetwear,streetwear,casual,formal,0
dress,none,jacket,vintage,vintage,vintage,vintage,1
shirt,skirt,sweater,streetwear,sporty,sporty,sporty,1
t-shirt,shorts,jacket,streetwear,sporty,casual,casual,0
t-shirt,jeans,blazer,sporty,casual,casual,casual,1
t-shirt,jogger,coat,casual,vintage,casual,casual,1
t-shirt,trousers,coat,vintage,sporty,sporty,sporty,1
t-shirt,jeans,hoodie,formal,casual,formal,formal,1
t-shirt,trousers,jacket,formal,sporty,streetwear,formal,0
dress,none,jacket,formal,sporty,streetwear,formal,0
t-shirt,trousers,blazer,formal,sporty,vintage,vintage,0
shirt,jogger,jacket,sporty,formal,sporty,streetwear,0
t-shirt,jogger,blazer,vintage,vintage,formal,streetwear,0
t-shirt,legging,hoodie,vintage,vintage,streetwear,vintage,1
t-shirt,cargo,sweater,streetwear,casual,casual,streetwear,0
shirt,jogger,sweater,vintage,vintage,casual,vintage,1
shirt,shorts,jacket,sporty,formal,streetwear,sporty,0
t-shirt,skirt,sweater,casual,formal,sporty,formal,0
shirt,legging,sweater,sporty,vintage,casual,vintage,0
shirt,shorts,blazer,casual,formal,formal,formal,1
t-shirt,cargo,sweater,formal,sporty,formal,sporty,0
t-shirt,legging,sweater,streetwear,streetwear,casual,casual,0
dress,none,jacket,casual,sporty,casual,casual,1
t-shirt,trousers,jacket,streetwear,streetwear,vintage,streetwear,1
t-shirt,cargo,hoodie,formal,formal,vintage,streetwear,0
shirt,shorts,hoodie,vintage,vintage,sporty,sporty,0
dress,none,jacket,casual,vintage,casual,casual,1
shirt,legging,blazer,vintage,sporty,vintage,casual,0
shirt,shorts,jacket,casual,sporty,casual,casual,1
t-shirt,legging,blazer,streetwear,streetwear,streetwear,streetwear,1
shirt,legging,coat,streetwear,streetwear,sporty,sporty,0
t-shirt,shorts,hoodie,sporty,sporty,sporty,sporty,1
t-shirt,legging,sweater,formal,casual,streetwear,formal,0
shirt,legging,blazer,casual,formal,vintage,casual,0
shirt,jeans,coat,streetwear,streetwear,formal,streetwear,1
shirt,legging,sweater,vintage,vintage,vintage,streetwear,0
t-shirt,jogger,sweater,sporty,sporty,casual,sporty,1
shirt,skirt,coat,formal,casual,casual,streetwear,0
t-shirt,cargo,jacket,streetwear,streetwear,casual,streetwear,1
shirt,trousers,sweater,sporty,streetwear,streetwear,streetwear,1
shirt,shorts,blazer,streetwear,streetwear,vintage,casual,0
shirt,cargo,hoodie,streetwear,streetwear,casual,vintage,0
shirt,legging,blazer,formal,vintage,casual,formal,0
t-shirt,shorts,jacket,vintage,formal,formal,formal,1
shirt,jogger,coat,formal,casual,sporty,casual,0
shirt,skirt,coat,casual,vintage,sporty,sporty,0
t-shirt,jogger,coat,vintage,streetwear,vintage,streetwear,0
shirt,legging,sweater,vintage,casual,casual,casual,1
shirt,shorts,sweater,casual,vintage,casual,casual,1
t-shirt,skirt,jacket,streetwear,casual,streetwear,formal,0
shirt,jeans,jacket,casual,casual,streetwear,casual,1
shirt,trousers,blazer,formal,vintage,streetwear,formal,0
shirt,jeans,jacket,formal,vintage,vintage,sporty,0
shirt,skirt,sweater,sporty,streetwear,casual,streetwear,0
t-shirt,legging,hoodie,casual,vintage,sporty,vintage,0
shirt,skirt,coat,casual,formal,sporty,sporty,0
shirt,skirt,coat,casual,casual,vintage,formal,0
t-shirt,trousers,sweater,sporty,sporty,vintage,sporty,1
shirt,jogger,blazer,streetwear,streetwear,formal,streetwear,1
shirt,legging,blazer,formal,sporty,sporty,sporty,1
dress,none,hoodie,casual,casual,casual,formal,0
shirt,cargo,coat,vintage,vintage,sporty,casual,0
t-shirt,skirt,coat,sporty,sporty,vintage,vintage,0
t-shirt,cargo,coat,casual,casual,sporty,sporty,0
t-shirt,legging,jacket,sporty,sporty,streetwear,streetwear,0
shirt,skirt,blazer,formal,formal,vintage,formal,1
dress,none,jacket,sporty,formal,formal,casual,0
t-shirt,jogger,sweater,casual,sporty,casual,casual,1
dress,none,sweater,formal,vintage,formal,formal,1
t-shirt,trousers,sweater,streetwear,streetwear,formal,streetwear,1
t-shirt,cargo,jacket,formal,casual,formal,formal,1
t-shirt,jogger,blazer,streetwear,formal,formal,formal,1
shirt,jeans,sweater,casual,vintage,formal,vintage,0
dress,none,hoodie,vintage,vintage,sporty,vintage,1
shirt,trousers,hoodie,sporty,streetwear,streetwear,streetwear,1
shirt,cargo,jacket,vintage,vintage,sporty,formal,0
dress,none,sweater,streetwear,casual,streetwear,streetwear,1
t-shirt,legging,sweater,vintage,sporty,formal,formal,0
t-shirt,shorts,hoodie,formal,streetwear,sporty,streetwear,0
shirt,shorts,blazer,formal,formal,sporty,formal,1
shirt,shorts,blazer,vintage,formal,vintage,vintage,1
t-shirt,cargo,blazer,casual,formal,casual,sporty,0
t-shirt,trousers,sweater,vintage,vintage,vintage,vintage,1
t-shirt,cargo,hoodie,casual,streetwear,casual,casual,1
shirt,jeans,coat,formal,sporty,vintage,vintage,0
t-shirt,jogger,sweater,sporty,vintage,vintage,vintage,1
shirt,cargo,hoodie,vintage,casual,vintage,vintage,1
shirt,cargo,hoodie,formal,formal,sporty,formal,1
dress,none,blazer,sporty,sporty,streetwear,casual,0
shirt,legging,coat,vintage,vintage,vintage,casual,0
shirt,shorts,blazer,streetwear,sporty,streetwear,streetwear,1
shirt,skirt,blazer,sporty,formal,sporty,sporty,1
shirt,cargo,sweater,streetwear,vintage,casual,streetwear,0
dress,none,blazer,formal,streetwear,streetwear,streetwear,1
t-shirt,jogger,coat,formal,sporty,streetwear,formal,0
t-shirt,legging,blazer,streetwear,streetwear,vintage,streetwear,1
shirt,skirt,coat,casual,vintage,casual,sporty,0
shirt,legging,hoodie,streetwear,streetwear,casual,streetwear,1
t-shirt,jeans,hoodie,vintage,streetwear,vintage,vintage,1
t-shirt,trousers,sweater,formal,casual,formal,formal,1
shirt,legging,hoodie,vintage,streetwear,sporty,vintage,0
shirt,cargo,hoodie,sporty,casual,casual,formal,0
